"Plant_id","Plant_sp","Cover_con","Cover_het"
"79","ROFF",0,0.71875
"8","UPAR",0,0.3125
"80","ROFF",0.09375,0.625
"81","ROFF",0.09375,0.40625
"82","ROFF",0.03125,0.71875
"83","ROFF",0,0.84375
"84","ROFF",0.03125,0.65625
"85","ROFF",0.125,0.375
"86","ROFF",0,0.46875
"87","ROFF",0.03125,0.40625
"88","ROFF",0,0.6875
"89","ROFF",0,0.46875
"9","UPAR",0,0.375
"90","ROFF",0,0.3125
"91","ROFF",0.09375,0.46875
"92","ROFF",0.3125,0.03125
"93","ROFF",0.09375,0.625
"94","ROFF",0.125,0.25
"95","ROFF",0,0.125
"96","ROFF",0,0.53125
"97","ROFF",0.03125,0.125
"98","ROFF",0,0.4375
"99","ROFF",0,0.25
"X","UPAR",0.25,0.375
"Y","SGEN",0,0.9375
"Z","CSAL",0,0.96875
