"Plant_id","Plant_sp","sync_index_het","sync_index_con"
"41","ROFF",0.324890469313203,0.909012464046021
"410","CLIB",0.307226107226107,0.905454545454545
"411","CLIB",0.28983918128655,0.912037037037037
"412","CLIB",0.278046032512474,0.91131498470948
"413","CLIB",0.307753078348044,0.896894409937888
"414","CLIB",0.278032036613272,0.894202898550725
"415","CLIB",0.2450213371266,0.756756756756757
"416","CLIB",0.288263762855414,0.91264367816092
"417","CLIB",0.309808612440191,0.903030303030303
"418","CLIB",0.364035087719298,0.733333333333333
"419","CLIB",0.399415204678363,0.896296296296296
"42","ROFF",0.391323766204765,0.950696378830084
"420","CLIB",0.305352798053528,0.886131386861314
"421","CLIB",0.313110620863536,0.915369261477046
